searchSttr;leg1_from;leg1_to;leg1_date;leg2_from;leg2_to;leg2_date;leg3_form;leg3_to;leg3_date;leg4_from;leg4_to;leg4_date;Price;time_in_leg1;time_in_leg2;time_in_leg3;Label;time_in_bue;time_in_mdz;time_in_scl
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-11*AEP,EZE_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;12/07/18;AEP,EZE;MDZ;15/07/18;MDZ;POA;21/07/18;2.256;5;3;6;"SCL;AEP,EZE;MDZ";3;6;5
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-11*AEP,EZE_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;12/07/18;AEP,EZE;SCL;16/07/18;SCL;POA;21/07/18;2.256;5;4;5;"MDZ;AEP,EZE;SCL";4;5;5
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-14*AEP,EZE_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;11/07/18;AEP,EZE;SCL;17/07/18;SCL;POA;21/07/18;2.256;4;6;4;"MDZ;AEP,EZE;SCL";6;4;4
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-11*AEP,EZE_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;13/07/18;AEP,EZE;SCL;17/07/18;SCL;POA;21/07/18;2.256;6;4;4;"MDZ;AEP,EZE;SCL";4;6;4
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-14*AEP,EZE_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;11/07/18;AEP,EZE;SCL;18/07/18;SCL;POA;21/07/18;2.256;4;7;3;"MDZ;AEP,EZE;SCL";7;4;3
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-15*AEP,EZE_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;12/07/18;AEP,EZE;SCL;18/07/18;SCL;POA;21/07/18;2.256;5;6;3;"MDZ;AEP,EZE;SCL";6;5;3
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-11*AEP,EZE_MDZ_2018-07-14*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;11/07/18;AEP,EZE;MDZ;14/07/18;MDZ;POA;21/07/18;2.334;4;3;7;"SCL;AEP,EZE;MDZ";3;7;4
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-11*AEP,EZE_MDZ_2018-07-15*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;11/07/18;AEP,EZE;MDZ;14/07/18;MDZ;POA;21/07/18;2.334;4;3;7;"SCL;AEP,EZE;MDZ";3;7;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-10*SCL_MDZ_2018-07-14*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;10/07/18;SCL;MDZ;14/07/18;MDZ;POA;21/07/18;2.411;3;4;7;"AEP,EZE;SCL;MDZ";3;7;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-11*SCL_MDZ_2018-07-14*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;10/07/18;SCL;MDZ;13/07/18;MDZ;POA;21/07/18;2.411;3;3;8;"AEP,EZE;SCL;MDZ";3;8;3
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-10*SCL_MDZ_2018-07-15*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;10/07/18;SCL;MDZ;14/07/18;MDZ;POA;21/07/18;2.411;3;4;7;"AEP,EZE;SCL;MDZ";3;7;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-11*SCL_MDZ_2018-07-15*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;11/07/18;SCL;MDZ;14/07/18;MDZ;POA;21/07/18;2.411;4;3;7;"AEP,EZE;SCL;MDZ";4;7;3
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-12*SCL_MDZ_2018-07-15*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;10/07/18;SCL;MDZ;15/07/18;MDZ;POA;21/07/18;2.411;3;5;6;"AEP,EZE;SCL;MDZ";3;6;5
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-10*SCL_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;11/07/18;SCL;MDZ;15/07/18;MDZ;POA;21/07/18;2.411;4;4;6;"AEP,EZE;SCL;MDZ";4;6;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-11*SCL_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;12/07/18;MDZ;AEP,EZE;15/07/18;AEP,EZE;POA;21/07/18;2.411;5;3;6;"SCL;MDZ;AEP,EZE";6;3;5
