POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-11*SCL_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;7/07/18;SCL;MDZ;12/07/18;MDZ;AEP,EZE;15/07/18;AEP,EZE;POA;21/07/18;;R$ 2.411
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-11*MDZ_SCL_2018-07-16*SCL_POA_2018-07-21;POA;AEP,EZE;7/07/18;AEP,EZE;SCL;12/07/18;SCL;MDZ;15/07/18;MDZ;POA;21/07/18;;R$ 1.953
POA_MDZ_2018-07-07*MDZ_SCL_2018-07-11*SCL_AEP,EZE_2018-07-16*AEP,EZE_POA_2018-07-21;POA;AEP,EZE;7/07/18;AEP,EZE;MDZ;12/07/18;MDZ;SCL;15/07/18;SCL;POA;21/07/18;;R$ 2.528
POA_MDZ_2018-07-07*MDZ_AEP,EZE_2018-07-11*AEP,EZE_SCL_2018-07-16*SCL_POA_2018-07-21;POA;MDZ;7/07/18;MDZ;SCL;12/07/18;SCL;AEP,EZE;15/07/18;AEP,EZE;POA;21/07/18;;R$ 2.610
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-12*SCL_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;7/07/18;SCL;MDZ;10/07/18;MDZ;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;;R$ 2.411
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-12*AEP,EZE_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;MDZ;7/07/18;MDZ;AEP,EZE;12/07/18;AEP,EZE;SCL;15/07/18;SCL;POA;21/07/18;;R$ 2.061
POA_SCL_2018-07-07*SCL_MDZ_2018-07-12*MDZ_AEP,EZE_2018-07-16*AEP,EZE_POA_2018-07-21;POA;SCL;7/07/18;SCL;AEP,EZE;10/07/18;AEP,EZE;MDZ;16/07/18;MDZ;POA;21/07/18;;R$ 2.001
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-12*MDZ_SCL_2018-07-16*SCL_POA_2018-07-21;POA;AEP,EZE;7/07/18;AEP,EZE;SCL;10/07/18;SCL;MDZ;16/07/18;MDZ;POA;21/07/18;;R$ 2.091
POA_MDZ_2018-07-07*MDZ_AEP,EZE_2018-07-12*AEP,EZE_SCL_2018-07-16*SCL_POA_2018-07-21;POA;MDZ;7/07/18;MDZ;SCL;10/07/18;SCL;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;;R$ 2.610
POA_MDZ_2018-07-07*MDZ_SCL_2018-07-12*SCL_AEP,EZE_2018-07-16*AEP,EZE_POA_2018-07-21;POA;AEP,EZE;7/07/18;AEP,EZE;MDZ;10/07/18;MDZ;SCL;16/07/18;SCL;POA;21/07/18;;R$ 2.528
