@relation 'precos_after_analysis-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1,4,7,10'

@attribute leg1_to {'AEP,EZE',SCL,MDZ}
@attribute leg1_date DATE "dd/MM/yyyy"
@attribute leg2_to {MDZ,'AEP,EZE',SCL}
@attribute leg2_date DATE "dd/MM/yyyy"
@attribute leg3_to {SCL,MDZ,'AEP,EZE'}
@attribute leg3_date DATE "dd/MM/yyyy"
@attribute leg4_to {POA}
@attribute leg4_date  DATE "dd/MM/yyyy"
@attribute Price numeric
@attribute time_in_leg1 numeric
@attribute time_in_leg2 numeric
@attribute time_in_leg3 numeric
@attribute Label {'AEP,EZE;MDZ;SCL','SCL;AEP,EZE;MDZ','AEP,EZE;SCL;MDZ','SCL;MDZ;AEP,EZE','MDZ;AEP,EZE;SCL','MDZ;SCL;AEP,EZE'}
@attribute time_in_bue numeric
@attribute time_in_mdz numeric
@attribute time_in_scl numeric

@data
SCL,07/07/18,MDZ,11/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.411,4,7,3,'SCL;MDZ;AEP,EZE',3,7,4
SCL,07/07/18,MDZ,12/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.411,5,6,3,'SCL;MDZ;AEP,EZE',3,6,5
SCL,07/07/18,MDZ,13/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.411,6,5,3,'SCL;MDZ;AEP,EZE',3,5,6
'AEP,EZE',07/07/18,MDZ,13/07/18,SCL,17/07/18,POA,21/07/18,2.424,6,4,4,'AEP,EZE;MDZ;SCL',6,4,4
'AEP,EZE',07/07/18,MDZ,14/07/18,SCL,17/07/18,POA,21/07/18,2.424,7,3,4,'AEP,EZE;MDZ;SCL',7,3,4
'AEP,EZE',07/07/18,MDZ,10/07/18,SCL,18/07/18,POA,21/07/18,2.424,3,8,3,'AEP,EZE;MDZ;SCL',3,8,3
'AEP,EZE',07/07/18,MDZ,11/07/18,SCL,18/07/18,POA,21/07/18,2.441,4,7,3,'AEP,EZE;MDZ;SCL',4,7,3
'AEP,EZE',07/07/18,MDZ,12/07/18,SCL,18/07/18,POA,21/07/18,2.461,5,6,3,'AEP,EZE;MDZ;SCL',5,6,3
'AEP,EZE',07/07/18,MDZ,13/07/18,SCL,18/07/18,POA,21/07/18,2.461,6,5,3,'AEP,EZE;MDZ;SCL',6,5,3
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',13/07/18,POA,21/07/18,2.528,3,3,8,'MDZ;SCL;AEP,EZE',8,3,3
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',14/07/18,POA,21/07/18,2.528,3,4,7,'MDZ;SCL;AEP,EZE',7,3,4
MDZ,07/07/18,SCL,11/07/18,'AEP,EZE',14/07/18,POA,21/07/18,2.528,4,3,7,'MDZ;SCL;AEP,EZE',7,4,3
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',15/07/18,POA,21/07/18,2.528,3,5,6,'MDZ;SCL;AEP,EZE',6,3,5
MDZ,07/07/18,SCL,11/07/18,'AEP,EZE',15/07/18,POA,21/07/18,2.528,4,4,6,'MDZ;SCL;AEP,EZE',6,4,4
'AEP,EZE',07/07/18,MDZ,12/07/18,SCL,15/07/18,POA,21/07/18,2.528,5,3,6,'AEP,EZE;MDZ;SCL',5,3,6
'AEP,EZE',07/07/18,MDZ,10/07/18,SCL,16/07/18,POA,21/07/18,2.528,3,6,5,'AEP,EZE;MDZ;SCL',3,6,5
'AEP,EZE',07/07/18,MDZ,12/07/18,SCL,16/07/18,POA,21/07/18,2.528,5,4,5,'AEP,EZE;MDZ;SCL',5,4,5
'AEP,EZE',07/07/18,MDZ,13/07/18,SCL,16/07/18,POA,21/07/18,2.528,6,3,5,'AEP,EZE;MDZ;SCL',6,3,5
'AEP,EZE',07/07/18,MDZ,10/07/18,SCL,17/07/18,POA,21/07/18,2.528,3,7,4,'AEP,EZE;MDZ;SCL',3,7,4
'AEP,EZE',07/07/18,MDZ,11/07/18,SCL,16/07/18,POA,21/07/18,2.545,4,5,5,'AEP,EZE;MDZ;SCL',4,5,5
'AEP,EZE',07/07/18,MDZ,11/07/18,SCL,17/07/18,POA,21/07/18,2.545,4,6,4,'AEP,EZE;MDZ;SCL',4,6,4
'AEP,EZE',07/07/18,MDZ,12/07/18,SCL,17/07/18,POA,21/07/18,2.565,5,5,4,'AEP,EZE;MDZ;SCL',5,5,4
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',14/07/18,POA,21/07/18,2.579,3,4,7,'MDZ;SCL;AEP,EZE',7,3,4
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',13/07/18,POA,21/07/18,2.579,3,3,8,'MDZ;SCL;AEP,EZE',8,3,3
MDZ,07/07/18,'AEP,EZE',10/07/18,SCL,13/07/18,POA,21/07/18,2.61,3,3,8,'MDZ;AEP,EZE;SCL',3,3,8
MDZ,07/07/18,'AEP,EZE',10/07/18,SCL,14/07/18,POA,21/07/18,2.61,3,4,7,'MDZ;AEP,EZE;SCL',4,3,7
MDZ,07/07/18,'AEP,EZE',10/07/18,SCL,13/07/18,POA,21/07/18,2.61,3,3,8,'MDZ;AEP,EZE;SCL',3,3,8
MDZ,07/07/18,'AEP,EZE',10/07/18,SCL,14/07/18,POA,21/07/18,2.61,3,4,7,'MDZ;AEP,EZE;SCL',4,3,7
MDZ,07/07/18,'AEP,EZE',11/07/18,SCL,14/07/18,POA,21/07/18,2.61,4,3,7,'MDZ;AEP,EZE;SCL',3,4,7
MDZ,07/07/18,'AEP,EZE',10/07/18,SCL,15/07/18,POA,21/07/18,2.61,3,5,6,'MDZ;AEP,EZE;SCL',5,3,6
